# Day: 3
# Topics: Education | Documents and Texts

advanced | adj. | 高级的；高等的
eraser | n. | 橡皮
practise | v. | 练习；训练
beginner | n. | 初学者；入门级
exam(ination) | n. | 考试
project | n. | 专题研究
biology | n. | 生物学
geography | n. | 地理学
pupil | n. | 小学生
blackboard | n. | 黑板
history | n. | 历史学
read | v. | 阅读
board | n. | 板
homework | n. | 家庭作业
remember | v. | 记得；牢记
book | n. | 书籍
information | n. | 信息
rubber | n. | 橡皮
bookshelf | n. | 书架
instructions | n. | 指令；说明
ruler | n. | 尺子
chemistry | n. | 化学
know | v. | 知道；了解
school | n. | 学校
class | n. | 班级；课
language | n. | 语言
science | n. | 科学
classmate | n. | 同班同学
learn | v. | 学习
student | n. | 学生
classroom | n. | 教室
lesson | n. | 课
studies | n. | 学科；研究
clever | adj. | 聪明的
level | n. | 水平
study | v. | 学习
coach | n. | 教练
library | n. | 图书馆
subject | n. | 科目
college | n. | 学院；大学
mark | n. & v. | 分数；打分
teach | v. | 教授
course | n. | 课程
maths/mathematics | n. | 数学
teacher | n. | 教师
desk | n. | 书桌
note | n. | 笔记；便条
term | n. | 学期
dictionary | n. | 字典；词典
physics | n. | 物理学
test | n. | 测验
diploma | n. | 文凭
practice | n. | 实践；练习
university | n. | 大学
ad/advertisement | n. | 广告
email | n. | 电子邮件
note | n. | 笔记；便条
article | n. | 文章
form | n. | 表格
notebook | n. | 笔记本
bill | n. | 账单；广告
letter | n. | 信；字母
passport | n. | 护照
book | n. | 书籍
licence | n. | 许可证；执照
postcard | n. | 明信片
card | n. | 卡片
magazine | n. | 杂志；期刊
project | n. | 项目；方案
comic | n. | 漫画
menu | n. | 菜单
text | n. & v. | 文本；发短信
diary | n. | 日记
message | n. | 信息；消息
textbook | n. | 教科书；课本
diploma | n. | 文凭
newspaper | n. | 报纸
ticket | n. | 票
