# Day: 4
# Topics: Family and Friends | Entertainment and Media

aunt | n. | 阿姨；姑妈
boy | n. | 男孩
brother | n. | 兄弟
child | n. | 孩子
cousin | n. | 表兄弟姐妹
dad(dy) | n. | 爸爸
daughter | n. | 女儿
family | n. | 家庭
father | n. | 父亲
friend | n. | 朋友
friendly | adj. | 友好的
girl | n. | 女孩
grandchild | n. | （外）孙子；（外）孙女
grand(d)ad | n. | 爷爷；外公
granddaughter | n. | （外）孙女
grandfather | n. | 爷爷；外公
grandma | n. | 奶奶；外婆
grandmother | n. | 奶奶；外婆
grandpa | n. | 爷爷；外公
grandparent | n. | 祖父母
grandson | n. | （外）孙子
granny | n. | 奶奶；外婆
group | n. | 组；群
guest | n. | 客人；宾客
guy | n. | 男人；小伙子
husband | n. | 丈夫
love | n. & v. | 爱；爱恋
maried | adj. | 已婚的
Miss |  | 小姐
mother | n. | 母亲
Mr |  | 先生
Mrs |  | 夫人
Ms |  | 女士
mum(my) | n. | 妈妈
neighbour | n. | 邻居
parent | n. | 父母
pen-friend | n. | 笔友
sister | n. | 姐妹
son | n. | 儿子
surname | n. | 姓氏
teenager | n. | 青少年
uncle | n. | 姑父；姨父
wife | n. | 妻子
act | v. | 表演
actor | n. | 男演员
adventure | n. | 冒险
advertisement | n. | 广告
art | n. | 艺术；美术
article | n. | 文章；报道
board game | n. | 棋盘游戏
book | n. | 书籍
card | n. | 卡片
cartoon | n. | 漫画；动画片
CD (player) | n. | CD（播放器）
chess | n. | 国际象棋
festival | n. | 节日；会演
film | n. & v. | 电影；把……拍摄成影片
fun | n. | 乐趣
go out |  | （尤指为娱乐而）出门
group | n. | 组；乐团
guitar | n. | 吉他
hip hop | n. | 嘻哈舞曲；嘻哈文化
instrument | n. | 乐器
keyboard | n. | 琴键；键盘
laugh | n. & v. | 笑
listen to |  | 听
look at |  | 看
photography | n. | 摄影
piano | n. | 钢琴
picture | n. | 照片；图画
play | n. | 游戏；戏剧
pop (music) | n. | 流行音乐
practice | n. | 实践；练习
practise | v. | 练习；训练
programme | n. | 节目
project | n. & v. | 项目；放映
radio | n. | 收音机
read | v. | 阅读
rock (concert) | n. | 摇滚音乐会
cinema | n. | 电影院
classical (music) | n. | 古典音乐
competition | n. | 比赛；竞赛
concert | n. | 音乐会
dance | n. & v. | 舞蹈；跳舞
dancer | n. | 舞蹈演员
draw | v. | 画
drawing | n. & v. | 图画；绘画
disco | n. | 迪斯科
drum | n. | 鼓
DVD (player) | n. | DVD（播放器）
exhibition | n. | 展览
magazine | n. | 杂志；期刊
MP3 player | n. | MP3播放器
museum | n. | 博物馆
music | n. | 音乐
musician | n. | 音乐家
news | n. | 新闻
newspaper | n. | 报纸
opera | n. | 歌剧
paint | v. | 用颜料画
painter | n. | 画家
photograph | n. | 照片；相片
photographer | n. | 摄影师
screen | n. | 屏幕
show | n. | 演出；展览
sing | v. | 唱歌
singer | n. | 歌手
song | n. | 歌曲
television / TV | n. | 电视机
theatre | n. | 戏院；剧场
ticket | n. | 票
video (game) | n. | 电子游戏
watch | v. | 观看
