# Day: 8
# Topics: Measurements | Personal Feelings, Opinions and Experiences

centimetre/centimeter/cm | n. | 厘米
kilogram(me)/kg | n. | 千克
quarter | n. | 一刻钟
day | n. | 天
kilometre/kilometer/km | n. | 千米
second | n. | 秒
degree | n. | 度
litre/liter | n. | 升
temperature | n. | 温度
gram(me) | n. | 克
metre/meter | n. | 米
week | n. | 星期
half | n. | 一半
minute | n. | 分钟
year | n. | 年
hour | n. | 小时
moment | n. | 片刻
able | adj. | 有……能力的
free | adj. | 自由的；免费的
quiet | adj. | 安静的
afraid | adj. | 担忧的
friendly | adj. | 友好的
ready | adj. | 准备好的
alone | adj. | 独自的
funny | adj. | 有趣的
real | adj. | 真实的
amazing | adj. | 令人惊奇的
good | adj. | 好的
rich | adj. | 富有的
angry | adj. | 生气的
great | adj. | 很棒的
right | adj. | 对的
bad | adj. | 坏的
happy | adj. | 快乐的
slow | adj. | 慢的
beautiful | adj. | 美丽的
hard | adj. | 难的；硬的
small | adj. | 小的
better | adj. | 更好的
heavy | adj. | 重的
soft | adj. | 柔软的
big | adj. | 大的
high | adj. | 高的
sorry | adj. | 抱歉的
bored | adj. | 令人厌倦的
hungry | adj. | 饿的
special | adj. | 特别的
boring | adj. | 无聊的
important | adj. | 重要的
strange | adj. | 奇怪的；陌生的
brave | adj. | 勇敢的
interested | adj. | 感到有趣的
strong | adj. | 强壮的
brilliant | adj. | 精彩的
interesting | adj. | 有趣的
sure | adj. | 确信的
busy | adj. | 忙的
kind | adj. | 友好的
sweet | adj. | 甜的
careful | adj. | 小心的
lovely | adj. | 美丽的；令人愉快的
tall | adj. | 高的
clear | adj. | 清楚的
lucky | adj. | 幸运的
terrible | adj. | 糟糕的
clever | adj. | 聪明的
married | adj. | 已婚的
tired | adj. | 累的
cool | adj. | 凉爽的
modern | adj. | 现代的
unhappy | adj. | 不开心的
different | adj. | 不同的
nice | adj. | 美好的；和谐的
useful | adj. | 有用的
difficult | adj. | 难的
noisy | adj. | 吵闹的
well | adj. | 健康的；身体好的
excellent | adj. | 极好的
old | adj. | 旧的；年老的
worried | adj. | 担心的
famous | adj. | 著名的
pleasant | adj. | 愉快的
wrong | adj. | 错误的
fast | adj. | 快速的
poor | adj. | 可怜的
young | adj. | 年轻的
favourite | adj. | 最喜欢的
pretty | adj. | 漂亮的
fine | adj. | 很好的
quick | adj. | 快的
