# Day: 9
# Topics: Places: Buildings | Places: Countryside | Places: Town and City

apartment (building) | n. | 公寓
entrance | n. | 入口
pharmacy | n. | 药房
bank | n. | 银行
exit | n. | 出口
police station | n. | 警察局
block | n. | 街区；大厦
factory | n. | 工厂
post office | n. | 邮局
bookshop | n. | 书店
flat | n. | 公寓
railway station | n. | 火车站
bookstore | n. | 书店
garage | n. | 车库
school | n. | 学校
building | n. | 建筑物
grocery store | n. | 杂货店
shop | n. | 商店
cafe/café | n. | 咖啡馆；小餐馆
guest-house | n. | 宾馆
sports centre | n. | 运动中心
cafeteria | n. | 自助餐厅
hospital | n. | 医院
stadium | n. | 体育场
castle | n. | 城堡
hotel | n. | 酒店
supermarket | n. | 超市
cinema | n. | 电影院
house | n. | 房子
swimming pool | n. | 游泳池
college | n. | 学院；大学
library | n. | 图书馆
theatre | n. | 剧院
department store | n. | 百货商场
lift | n. | 电梯
university | n. | （综合性）大学
disco | n. | 迪斯科舞厅
museum | n. | 博物馆
elevator | n. | 电梯
office | n. | 办公室
area | n. | 地区
hill | n. | 小山
rainforest | n. | 雨林
beach | n. | 沙滩
island | n. | 岛屿
river | n. | 河
campsite | n. | 营地
lake | n. | 湖
sea | n. | 海
farm | n. | 农场
mountain | n. | 山
sky | n. | 天空
field | n. | 旷野
path | n. | 小路
village | n. | 村庄
forest | n. | 森林
railway | n. | 铁路
wood | n. | 木头；树林
airport | n. | 机场
market | n. | 市场
square | n. | 广场
bridge | n. | 桥
motorway | n. | 高速公路
station | n. | 站；所；局
bus station | n. | 公交车总站
park | n. | 公园
street | n. | 街道
bus stop | n. | 公交车停靠站
petrol station | n. | 加油站
town | n. | 城镇
car park | n. | 停车场
playground | n. | 操场；游乐场
underground | n. | 地铁
city centre | n. | 市中心
road | n. | 路
zoo | n. | 动物园
corner | n. | 角落；拐角
roundabout | n. | 环岛
