# title: 不规则动词三态
# columns: 原形 | 过去式 | 过去分词

am / is | was | been
are | were | been
become | became | become
begin | began | begun
bite | bit | bitten
blow | blew | blown
break | broke | broken
build | built | built
buy | bought | bought
catch | caught | caught
come | came | come
cost | cost | cost
cut | cut | cut
dig | dug | dug
do | did | done
draw | drew | drawn
drink | drank | drunk
fall | fell | fallen
feed | fed | fed
feel | felt | felt
find | found | found
fly | flew | flown
forget | forgot | forgotten
get | got | got
give | gave | given
go | went | gone
grow | grew | grown
have | had | had
hold | held | held
keep | kept | kept
know | knew | known
let | let | let
make | made | made
meet | met | met
put | put | put
read | read | read
ride | rode | ridden
run | ran | run
say | said | said
see | saw | seen
send | sent | sent
sing | sang | sung
sit | sat | sat
sleep | slept | slept
speak | spoke | spoken
spend | spent | spent
sweep | swept | swept
take | took | taken
teach | taught | taught
tell | told | told
think | thought | thought
throw | threw | thrown
understand | understood | understood
wake | woke | waken
wear | wore | worn
win | won | won
write | wrote | written
